         4167088 function calls (4151322 primitive calls) in 33.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 sceneparser.py:84(concatGenerators)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       27    0.000    0.000    0.000    0.000 {sys._getframe}
        2    0.000    0.000    0.000    0.000 tempfile.py:135(next)
        3    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 ImageMode.py:36(getmode)
        1    0.000    0.000    0.000    0.000 function_base.py:1575(_get_ufunc_and_otypes)
        6    0.000    0.000    0.012    0.002 string.py:148(substitute)
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        9    0.000    0.000    0.000    0.000 UserDict.py:58(get)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        8    0.000    0.000    0.001    0.000 core.py:7199(__init__)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        6    0.000    0.000    0.000    0.000 locale.py:363(normalize)
       38    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {PIL._imaging.raw_decoder}
       19    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       21    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 camera.py:16(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        9    0.000    0.000    0.058    0.006 {map}
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
       18    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 argparse.py:573(_format_args)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
